activity_id,mobile_number,activity,date,date(time),duration(min),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
459234,85055308329,twitter,1/13/2020,5:48,0:09:24,,,,twitter.com,1207.5,Navotas,13
229840,40292525293,bank,5/7/2020,4:10,,,,,bpi,50,Mandaluyong,4
225453,97196938133,online_support,1/31/2020,8:23,0:28:31,,,,finance_support,60,Pasay,12
670188,49456875140,load,3/15/2020,3:55,0:35:54,,Regular Load,10,loading,,San Juan,16
490168,58126523821,online_shopping,3/13/2020,15:59,,,,,shopee,450,Caloocan,11
872678,41794415888,load,6/5/2020,8:57,,,GoSakto50,200,loading,,Makati,7
389849,38214375952,online_support,1/10/2020,18:07,0:08:26,,,,finance_support,90,Muntinlupa,10
116675,50617549005,call,10/1/2020,18:07,0:41:55,,,,53014123528,40,Navotas,7
152978,81528294650,bank,11/28/2020,20:59,0:59:37,,,,bpi,50,Navotas,8
123488,68837279361,facebook,4/20/2020,15:37,0:39:50,,,,facebook.com,750,Marikina,15
323202,52310195499,online_consultation,11/12/2020,13:03,0:09:32,,,,technical_consultation,450,Taguig,3
152773,34883908927,twitter,5/14/2020,4:08,0:28:43,,,,twitter.com,500,Las Pinas,7
951077,38572756961,facebook,12/11/2020,16:15,0:14:59,,,,facebook.com,750,Muntinlupa,16
302630,93704382272,online_support,2/6/2020,5:05,0:02:56,,,,technical_support,90,San Juan,3
377922,28227218027,twitter,2/7/2020,1:04,0:53:48,,,,twitter.com,1000,Pasig,14
270866,86803984101,online_shopping,4/17/2020,7:53,0:13:28,,,,lazada,600,Las Pinas,14
560798,94843114071,online_support,2/15/2020,19:49,0:26:50,,,,technical_support,150,Quezon City,10
474001,80691234255,online_game,1/15/2020,17:57,,,,,game a,2000,Taguig,4
457894,55823347147,twitter,2/4/2020,0:54,0:48:16,,,,twitter.com,250,Las Pinas,1
387555,39533016706,bank,4/23/2020,2:20,0:01:18,,,,bpi,50,Marikina,1
875862,87065484343,call,12/9/2020,13:31,0:06:51,,,,11527051956,80,Taguig,9
469217,79810499502,online_game,8/26/2020,3:15,,,,,game a,2500,Pasay,11
955549,41553217803,facebook,1/5/2020,20:42,0:49:15,,,,facebook.com,500,Muntinlupa,9
784279,42926253355,twitter,9/19/2020,11:40,0:42:21,,,,twitter.com,500,Marikina,14
676246,14799017612,text,5/11/2020,13:10,,119,,,75360324510,0.94,Malabon,4
657547,11653917110,online_game,2/22/2020,9:10,0:52:11,,,,game b,1000,Paranaque,10
205023,18269320926,online_consultation,3/24/2020,20:32,,,,,technical_consultation,750,Mandaluyong,14
993885,85194595253,facebook,8/13/2020,21:46,0:36:11,,,,facebook.com,500,Malabon,8
245341,46498093040,load,11/24/2020,11:01,0:46:23,,GoSakto70,50,loading,,Paranaque,7
504498,86741767169,load,4/21/2020,2:42,,,GoSakto90,10,loading,,Pasay,2
954024,47484219088,twitter,8/29/2020,14:47,,,,,twitter.com,1000,Taguig,1
176056,78404065669,twitter,7/21/2020,11:25,,,,,twitter.com,1000,Pasay,8
548333,34323548998,twitter,2/21/2020,17:55,0:05:53,,,,twitter.com,500,Navotas,9
529956,54947300460,text,9/29/2020,3:43,,124,,,86942660891,1,Valenzuela,15
790250,31513245861,load,10/9/2020,16:40,,,Regular Load,200,loading,,Valenzuela,12
278013,61193633396,online_support,8/6/2020,5:28,0:20:37,,,,technical_support,150,Caloocan,14
842555,50299064692,load,11/19/2020,5:49,0:54:37,,Regular Load,20,loading,,Paranaque,13
606768,22730126761,online_shopping,10/16/2020,14:04,0:44:10,,,,lazada,600,Navotas,11
338412,79852912945,twitter,5/22/2020,4:16,0:53:57,,,,twitter.com,750,Malabon,5
366691,13500564617,call,2/2/2020,10:19,0:43:50,,,,83817266218,80,Paranaque,7
227961,10684957681,bank,3/6/2020,16:10,0:02:13,,,,bpi,250,Paranaque,16
398219,35975197514,online_consultation,11/28/2020,5:45,0:27:42,,,,school_consultation,150,Muntinlupa,3
181410,19291852209,call,1/23/2020,11:45,0:27:39,,,,88682032943,80,Manila,3
146165,12773214164,load,9/19/2020,6:04,0:48:51,,Regular Load,100,loading,,San Juan,4
622273,22837245709,online_support,1/29/2020,11:57,0:33:37,,,,finance_support,60,Makati,9
859656,92300786788,load,10/4/2020,13:13,,,Regular Load,50,loading,,Marikina,14
399482,58203442323,youtube,10/25/2020,2:41,0:08:42,,,,youtube.com,1000,Valenzuela,11
310947,75640201365,twitter,12/15/2020,2:37,0:10:57,,,,twitter.com,500,Manila,14
536200,80983883866,youtube,7/16/2020,18:24,0:12:53,,,,youtube.com,5000,San Juan,16
565522,88885158421,twitter,4/12/2020,1:07,0:27:15,,,,twitter.com,1000,Pasay,9
942475,11729613486,call,12/23/2020,10:25,,,,,45497025224,40,Manila,8
599056,21644905970,bank,3/16/2020,20:59,,,,,bdo,100,Pasig,16
217555,79117859344,twitter,10/16/2020,0:12,0:01:16,,,,twitter.com,1000,Valenzuela,6
482743,74327306669,twitter,5/23/2020,16:52,0:08:21,,,,twitter.com,750,Muntinlupa,7
612536,16217053415,online_consultation,8/29/2020,8:46,0:41:29,,,,technical_consultation,150,Navotas,8
561033,65540851445,text,5/25/2020,16:52,0:26:51,202,,,93842999113,1.61,Navotas,13
984088,55764968184,online_shopping,9/19/2020,4:00,0:42:43,,,,lazada,600,Muntinlupa,10
971205,10545662464,call,1/9/2020,0:52,0:23:52,,,,41794415888,20,Pasay,8
352167,95359588698,text,4/9/2020,6:26,0:47:20,148,,,60185564533,1.19,Las Pinas,11
905920,85085507232,bank,8/18/2020,18:52,,,,,bdo,200,Las Pinas,10
840931,12646267555,load,5/18/2020,12:08,0:06:13,,GoSakto70,150,loading,,Mandaluyong,8
962956,98587231181,load,3/25/2020,4:42,0:45:47,,Regular Load,50,loading,,Marikina,8
654317,55998201672,facebook,4/11/2020,13:07,0:50:14,,,,facebook.com,750,Mandaluyong,3
766683,21485208728,facebook,11/13/2020,10:13,0:27:39,,,,facebook.com,1250,Makati,3
947488,26797872470,online_support,2/11/2020,21:52,0:33:22,,,,technical_support,90,Valenzuela,16
424471,40670940608,youtube,4/22/2020,1:29,0:12:24,,,,youtube.com,2000,Makati,12
495614,29368143695,text,8/31/2020,3:42,,61,,,93989448895,0.52,Muntinlupa,8
966917,96003045744,facebook,4/13/2020,2:47,0:49:48,,,,facebook.com,750,Taguig,13
366557,45664831375,load,9/3/2020,14:10,0:51:16,,GoSakto70,10,loading,,Paranaque,16
475249,18895833671,text,1/3/2020,7:08,0:08:20,57,,,36345419258,0.46,Navotas,14
572631,10480040096,bank,11/20/2020,21:09,0:34:57,,,,bdo,50,Paranaque,1
399349,15428119891,load,9/28/2020,20:19,,,GoSakto50,150,loading,,Manila,14
660536,82014077509,text,2/6/2020,8:10,,179,,,68421519639,1.42,Mandaluyong,4
700189,51220462667,youtube,2/9/2020,8:59,0:42:54,,,,youtube.com,3000,Marikina,9
982315,21421913434,online_support,8/30/2020,7:49,0:43:59,,,,technical_support,30,Mandaluyong,1
641354,99839254098,online_shopping,7/19/2020,19:44,0:17:23,,,,lazada,300,Taguig,6
475711,69233853166,online_consultation,10/19/2020,2:52,0:22:42,,,,technical_consultation,150,Malabon,1
660626,39630958389,text,8/20/2020,13:43,0:52:11,241,,,22316516096,1.9,Pasay,8
404158,16339569771,online_game,3/29/2020,22:16,0:26:37,,,,game b,1500,San Juan,15
430760,56050209405,load,9/9/2020,5:30,0:00:27,,GoSakto70,5,loading,,Valenzuela,14
226657,30845898746,youtube,12/10/2020,8:37,,,,,youtube.com,3000,Malabon,14
849352,74836651900,text,12/7/2020,19:28,0:46:55,216,,,43680487001,1.73,Caloocan,10
366836,63018281055,load,12/9/2020,6:12,,,GoSakto90,200,loading,,Taguig,13
234790,70517451599,facebook,11/12/2020,16:47,0:57:19,,,,facebook.com,250,Pasig,6
250167,50920492623,online_consultation,3/3/2020,15:44,0:07:37,,,,technical_consultation,450,Taguig,16
961769,58416512885,load,7/6/2020,3:50,0:07:58,,GoSakto90,10,loading,,Caloocan,3
117170,63683820774,twitter,11/9/2020,7:13,0:50:37,,,,twitter.com,250,Las Pinas,10
840678,53445757580,call,1/7/2020,20:34,0:05:44,,,,55066500165,80,Marikina,16
653189,34478343234,facebook,5/19/2020,13:18,0:53:13,,,,facebook.com,750,Mandaluyong,16
261360,71075553836,online_support,6/7/2020,20:14,0:56:46,,,,finance_support,120,Manila,16
623559,31352626263,load,2/16/2020,13:47,0:05:46,,GoSakto50,150,loading,,Navotas,14
224057,99910403605,load,4/18/2020,17:47,0:08:49,,Regular Load,100,loading,,Manila,4
945734,32563684575,online_game,1/23/2020,23:02,0:16:18,,,,game a,2000,Quezon City,8
114296,78619210064,online_shopping,10/25/2020,15:20,0:50:35,,,,shopee,300,Manila,13
380539,63686088458,text,8/24/2020,3:49,,190,,,60422954556,1.49,Valenzuela,16
100922,28714076705,online_support,11/26/2020,0:33,0:57:50,,,,finance_support,60,Muntinlupa,8
