activity_id,mobile_number,activity,date,date(time),duration(min),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
595405,61227016053,online_game,8/14/2020,23:51,0:27:57,,,,game b,995,Makati,10
684788,88545842299,text,4/21/2020,22:29,0:06:25,205,,,46363204660,1.64,Malabon,15
359035,84295332711,load,1/1/2020,7:37,0:24:11,,GoSakto50,5,loading,,Malabon,3
128810,85808042036,bank,5/30/2020,3:06,0:29:11,,,,bpi,50,Paranaque,7
867421,64167096288,facebook,8/18/2020,11:51,0:15:58,,,,facebook.com,750,Muntinlupa,6
481075,35034615138,online_consultation,5/20/2020,2:01,0:35:20,,,,medical_consultation,450,Taguig,10
777328,32216487322,call,11/8/2020,17:27,0:11:38,,,,32994789037,40,San Juan,2
419728,34741883776,call,5/14/2020,16:58,0:42:51,,,,17172274158,80,Quezon City,14
728049,12583701480,online_game,10/29/2020,13:43,0:23:11,,,,game b,2000,Quezon City,14
671683,48668021304,twitter,7/22/2020,18:02,0:56:23,,,,twitter.com,750,San Juan,5
337225,23099415245,facebook,7/15/2020,8:47,,,,,facebook.com,1000,Malabon,9
329216,70046338742,online_game,9/9/2020,14:24,,,,,game a,2500,Marikina,10
914334,81250487006,youtube,12/10/2020,13:02,0:52:36,,,,youtube.com,4000,Valenzuela,1
709943,95944385379,bank,4/26/2020,7:15,0:41:37,,,,bdo,100,Mandaluyong,13
116923,41890833941,text,12/17/2020,1:32,0:33:18,133,,,28225651007,1.06,Navotas,6
471372,16954015137,online_support,2/17/2020,20:27,0:54:30,,,,technical_support,30,Makati,11
148906,73032418747,online_shopping,6/17/2020,22:27,0:25:11,,,,shopee,750,Taguig,15
157128,60230857947,online_game,12/14/2020,17:27,,,,,game b,2500,Malabon,1
738483,84368507148,online_game,10/31/2020,23:49,0:38:37,,,,game b,2000,Pasig,4
799860,65475248220,call,5/6/2020,8:48,0:51:27,,,,46585648328,100,Navotas,16
650119,25060436557,bank,9/28/2020,12:41,0:16:14,,,,bpi,250,Caloocan,16
146093,94660975969,facebook,6/23/2020,18:19,0:24:59,,,,facebook.com,1000,Mandaluyong,3
310067,19725439033,online_game,4/21/2020,0:26,0:57:18,,,,game b,1500,Pasig,11
425275,17511238425,facebook,1/18/2020,12:09,,,,,facebook.com,500,Taguig,10
564738,83338492419,online_game,6/25/2020,3:28,0:33:56,,,,game a,2000,Taguig,2
643192,23872605085,bank,9/7/2020,10:36,0:09:30,,,,bdo,250,Valenzuela,12
141542,34237639884,online_consultation,6/7/2020,14:00,0:05:43,,,,school_consultation,750,Marikina,11
603243,98137617274,text,1/5/2020,0:31,0:47:20,81,,,10056290345,0.66,Manila,11
167100,70541482086,online_consultation,6/9/2020,6:06,0:25:46,,,,medical_consultation,150,Navotas,1
475266,69101527436,youtube,12/7/2020,8:45,0:52:15,,,,youtube.com,5000,San Juan,3
882731,11180975236,facebook,5/23/2020,15:04,,,,,facebook.com,250,Muntinlupa,11
864695,98975544118,facebook,8/29/2020,15:11,0:23:39,,,,facebook.com,750,San Juan,13
306483,50401554920,call,3/29/2020,7:29,0:07:13,,,,98741910659,40,Navotas,4
926419,57598649108,text,1/29/2020,15:31,0:29:27,75,,,85464938112,0.62,Paranaque,10
171739,52605758975,online_shopping,10/20/2020,19:44,,,,,lazada,450,Caloocan,15
962553,90971344109,youtube,2/4/2020,22:22,0:48:18,,,,youtube.com,1000,Muntinlupa,14
671093,10921518989,call,9/8/2020,14:22,0:27:10,,,,84105097097,80,Pasig,5
707194,24708819895,youtube,10/18/2020,18:36,0:51:46,,,,youtube.com,1000,Makati,2
365830,68335278914,text,9/23/2020,13:09,0:27:55,216,,,98975544118,1.7,Malabon,4
570497,85563560724,online_game,11/17/2020,4:39,0:11:57,,,,game a,500,Caloocan,10
389468,11322906443,online_shopping,8/1/2020,8:04,0:16:44,,,,lazada,300,Taguig,6
