mobile_number,activity,day,month,time(hour),time(minute),duration(seconds),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
85055308329,1,13,1,5,48,564,0,0,0,746,1207,1,13
40292525293,2,7,5,4,10,0,0,0,0,734,50,2,4
97196938133,3,31,1,8,23,1711,0,0,0,736,60,3,12
49456875140,4,15,3,3,55,2154,0,1,10,740,0,4,16
58126523821,5,13,3,15,59,0,0,0,0,743,450,5,11
41794415888,4,5,6,8,57,0,0,2,200,740,0,6,7
38214375952,3,10,1,18,7,506,0,0,0,736,90,7,10
50617549005,6,1,10,18,7,2515,0,0,0,327,40,1,7
81528294650,2,28,11,20,59,3577,0,0,0,734,50,1,8
68837279361,7,20,4,15,37,2390,0,0,0,735,750,8,15
52310195499,8,12,11,13,3,572,0,0,0,744,450,9,3
34883908927,1,14,5,4,8,1723,0,0,0,746,500,10,7
38572756961,7,11,12,16,15,899,0,0,0,735,750,7,16
93704382272,3,6,2,5,5,176,0,0,0,745,90,4,3
28227218027,1,7,2,1,4,3228,0,0,0,746,1000,11,14
86803984101,5,17,4,7,53,808,0,0,0,739,600,10,14
94843114071,3,15,2,19,49,1610,0,0,0,745,150,12,10
80691234255,9,15,1,17,57,0,0,0,0,737,2000,9,4
55823347147,1,4,2,0,54,2896,0,0,0,746,250,10,1
39533016706,2,23,4,2,20,78,0,0,0,734,50,8,1
87065484343,6,9,12,13,31,411,0,0,0,13,80,9,9
79810499502,9,26,8,3,15,0,0,0,0,737,2500,3,11
41553217803,7,5,1,20,42,2955,0,0,0,735,500,7,9
42926253355,1,19,9,11,40,2541,0,0,0,746,500,8,14
14799017612,10,11,5,13,10,0,119,0,0,517,0,13,4
11653917110,9,22,2,9,10,3131,0,0,0,738,1000,14,10
18269320926,8,24,3,20,32,0,0,0,0,744,750,2,14
85194595253,7,13,8,21,46,2171,0,0,0,735,500,13,8
46498093040,4,24,11,11,1,2783,0,3,50,740,0,14,7
86741767169,4,21,4,2,42,0,0,4,10,740,0,3,2
47484219088,1,29,8,14,47,0,0,0,0,746,1000,9,1
78404065669,1,21,7,11,25,0,0,0,0,746,1000,3,8
34323548998,1,21,2,17,55,353,0,0,0,746,500,1,9
54947300460,10,29,9,3,43,0,124,0,0,626,1,15,15
31513245861,4,9,10,16,40,0,0,1,200,740,0,15,12
61193633396,3,6,8,5,28,1237,0,0,0,745,150,5,14
50299064692,4,19,11,5,49,3277,0,1,20,740,0,14,13
22730126761,5,16,10,14,4,2650,0,0,0,739,600,1,11
79852912945,1,22,5,4,16,3237,0,0,0,746,750,13,5
13500564617,6,2,2,10,19,2630,0,0,0,596,80,14,7
10684957681,2,6,3,16,10,133,0,0,0,734,250,14,16
35975197514,8,28,11,5,45,1662,0,0,0,742,150,7,3
19291852209,6,23,1,11,45,1659,0,0,0,639,80,16,3
12773214164,4,19,9,6,4,2931,0,1,100,740,0,4,4
22837245709,3,29,1,11,57,2017,0,0,0,736,60,6,9
92300786788,4,4,10,13,13,0,0,1,50,740,0,8,14
58203442323,11,25,10,2,41,522,0,0,0,747,1000,15,11
75640201365,1,15,12,2,37,657,0,0,0,746,500,16,14
80983883866,11,16,7,18,24,773,0,0,0,747,5000,4,16
88885158421,1,12,4,1,7,1635,0,0,0,746,1000,3,9
11729613486,6,23,12,10,25,0,0,0,0,281,40,16,8
21644905970,2,16,3,20,59,0,0,0,0,733,100,11,16
79117859344,1,16,10,0,12,76,0,0,0,746,1000,15,6
74327306669,1,23,5,16,52,501,0,0,0,746,750,7,7
16217053415,8,29,8,8,46,2489,0,0,0,744,150,1,8
65540851445,10,25,5,16,52,1611,202,0,0,685,1,1,13
55764968184,5,19,9,4,0,2563,0,0,0,739,600,7,10
10545662464,6,9,1,0,52,1432,0,0,0,251,20,3,8
95359588698,10,9,4,6,26,2840,148,0,0,384,1,10,11
85085507232,2,18,8,18,52,0,0,0,0,733,200,10,10
12646267555,4,18,5,12,8,373,0,3,150,740,0,2,8
98587231181,4,25,3,4,42,2747,0,1,50,740,0,8,8
55998201672,7,11,4,13,7,3014,0,0,0,735,750,2,3
21485208728,7,13,11,10,13,1659,0,0,0,735,1250,6,3
26797872470,3,11,2,21,52,2002,0,0,0,745,90,15,16
40670940608,11,22,4,1,29,744,0,0,0,747,2000,6,12
29368143695,10,31,8,3,42,0,61,0,0,686,0,7,8
96003045744,7,13,4,2,47,2988,0,0,0,735,750,9,13
45664831375,4,3,9,14,10,3076,0,3,10,740,0,14,16
18895833671,10,3,1,7,8,500,57,0,0,204,0,1,14
10480040096,2,20,11,21,9,2097,0,0,0,733,50,14,1
15428119891,4,28,9,20,19,0,0,2,150,740,0,16,14
82014077509,10,6,2,8,10,0,179,0,0,454,1,2,4
51220462667,11,9,2,8,59,2574,0,0,0,747,3000,8,9
21421913434,3,30,8,7,49,2639,0,0,0,745,30,2,1
99839254098,5,19,7,19,44,1043,0,0,0,739,300,9,6
69233853166,8,19,10,2,52,1362,0,0,0,744,150,13,1
39630958389,10,20,8,13,43,3131,241,0,0,99,1,3,8
16339569771,9,29,3,22,16,1597,0,0,0,738,1500,4,15
56050209405,4,9,9,5,30,27,0,3,5,740,0,15,14
30845898746,11,10,12,8,37,0,0,0,0,747,3000,13,14
74836651900,10,7,12,19,28,2815,216,0,0,262,1,5,10
63018281055,4,9,12,6,12,0,0,4,200,740,0,9,13
70517451599,7,12,11,16,47,3439,0,0,0,735,250,11,6
50920492623,8,3,3,15,44,457,0,0,0,744,450,9,16
58416512885,4,6,7,3,50,478,0,4,10,740,0,5,3
63683820774,1,9,11,7,13,3037,0,0,0,746,250,10,10
53445757580,6,7,1,20,34,344,0,0,0,346,80,8,16
34478343234,7,19,5,13,18,3193,0,0,0,735,750,2,16
71075553836,3,7,6,20,14,3406,0,0,0,736,120,16,16
31352626263,4,16,2,13,47,346,0,2,150,740,0,1,14
99910403605,4,18,4,17,47,529,0,1,100,740,0,16,4
32563684575,9,23,1,23,2,978,0,0,0,737,2000,12,8
78619210064,5,25,10,15,20,3035,0,0,0,743,300,16,13
63686088458,10,24,8,3,49,0,190,0,0,388,1,15,16
28714076705,3,26,11,0,33,3470,0,0,0,736,60,7,8
90469519677,6,3,4,17,59,2910,0,0,0,301,60,5,12
84297592146,2,30,11,4,3,634,0,0,0,734,250,8,13
47530055499,8,24,3,17,20,1819,0,0,0,742,750,4,3
99960542240,3,9,9,2,7,2927,0,0,0,745,60,15,3
87275251711,7,2,3,0,27,0,0,0,0,735,750,6,11
45073043833,6,29,10,12,25,1241,0,0,0,478,40,12,11
60300975672,10,4,7,18,47,2004,60,0,0,339,0,7,6
27927495626,3,4,1,2,38,2782,0,0,0,745,150,14,13
48544690311,3,20,2,8,2,278,0,0,0,736,30,13,3
78784228268,10,23,6,9,53,535,121,0,0,451,0,3,6
52551424180,4,3,9,16,58,0,0,3,100,740,0,15,1
94784653977,5,5,7,17,45,2428,0,0,0,739,300,3,5
36803287780,9,6,4,15,20,856,0,0,0,737,2000,8,13
17262902277,9,3,8,10,8,2633,0,0,0,738,1500,12,6
44290309230,10,5,8,17,5,2030,86,0,0,130,0,13,12
14631291410,6,24,10,22,37,0,0,0,0,318,20,4,14
13990395660,7,29,11,21,19,22,0,0,0,735,250,11,8
94533824798,4,3,1,2,11,1342,0,2,200,740,0,13,12
97808874067,10,25,12,14,29,2605,54,0,0,381,0,3,9
45214676283,5,11,12,5,54,1838,0,0,0,743,450,1,16
23977669118,11,31,10,12,41,0,0,0,0,747,2000,16,9
75563285337,5,9,9,13,16,0,0,0,0,743,750,11,15
11405999818,1,26,1,6,57,0,0,0,0,746,250,16,3
74290133387,5,7,6,22,24,888,0,0,0,739,600,12,5
36550572339,2,14,6,5,20,1720,0,0,0,734,150,13,5
91574045244,8,7,8,2,36,1878,0,0,0,744,600,13,9
55592645523,7,9,10,20,8,0,0,0,0,735,500,4,14
88083402470,6,2,3,18,33,505,0,0,0,343,100,4,16
29561549466,10,3,12,20,2,3251,178,0,0,421,1,15,7
99617679301,2,24,2,13,4,0,0,0,0,733,50,14,8
73005547373,9,22,4,4,58,53,0,0,0,737,1500,11,11
45875570409,7,30,6,2,17,335,0,0,0,735,1000,13,6
83947222156,1,28,1,21,19,1253,0,0,0,746,500,2,10
70249295612,2,10,6,19,18,553,0,0,0,734,50,1,14
36224743643,4,16,10,5,45,0,0,4,200,740,0,9,15
90683702466,11,28,9,4,27,443,0,0,0,747,2000,3,15
78681597051,6,23,1,7,54,0,0,0,0,415,20,3,12
84309543313,10,18,9,12,26,1316,204,0,0,400,1,10,9
10839411474,5,10,11,17,58,0,0,0,0,739,750,2,7
55820779474,4,5,2,17,21,1872,0,2,100,740,0,11,3
94587093547,6,20,4,18,33,0,0,0,0,153,60,8,7
54504481133,1,5,3,13,29,117,0,0,0,746,750,13,6
25270393991,7,22,11,11,0,3234,0,0,0,735,750,9,2
25496073071,1,22,9,18,17,2479,0,0,0,746,750,7,8
95380690730,8,18,2,10,41,0,0,0,0,742,300,9,4
43508496715,8,8,7,11,28,0,0,0,0,741,600,2,6
48213174803,3,9,10,19,24,0,0,0,0,745,60,6,7
14541563823,8,4,12,23,6,0,0,0,0,741,750,16,11
23227281464,5,10,11,20,18,0,0,0,0,739,150,3,12
30946935794,7,2,12,2,50,695,0,0,0,735,1000,13,12
59028007563,9,1,6,4,20,3352,0,0,0,738,500,13,1
99127659523,3,16,3,23,19,233,0,0,0,745,90,14,8
27389468931,4,19,4,9,17,3344,0,3,150,740,0,7,11
92357034110,4,13,9,18,31,3104,0,2,100,740,0,14,16
30719408045,4,29,5,18,47,3592,0,2,10,740,0,3,12
43680487001,7,5,10,13,17,1933,0,0,0,735,1000,9,12
72029622734,3,16,12,18,4,3503,0,0,0,736,60,9,12
18537175457,6,2,3,20,47,3150,0,0,0,454,60,1,6
29384616134,3,12,2,0,43,579,0,0,0,736,30,12,13
83817266218,10,7,9,10,21,2819,68,0,0,53,0,1,11
