mobile_number,activity,day,month,time(hour),time(minute),duration(seconds),length_of_text,type_of_load,amount_load,receiver,mb_use,location(city),location(district)
61227016053,1,14,8,23,51,1677,0,0,0,706,995,1,10
88545842299,2,21,4,22,29,385,205,0,0,279,1,2,15
84295332711,3,1,1,7,37,1451,0,1,5,708,0,2,3
85808042036,4,30,5,3,6,1751,0,0,0,702,50,3,7
64167096288,5,18,8,11,51,958,0,0,0,703,750,4,6
35034615138,6,20,5,2,1,2120,0,0,0,709,450,5,10
32216487322,7,8,11,17,27,698,0,0,0,165,40,6,2
34741883776,7,14,5,16,58,2571,0,0,0,59,80,7,14
12583701480,1,29,10,13,43,1391,0,0,0,706,2000,7,14
48668021304,8,22,7,18,2,3383,0,0,0,714,750,6,5
23099415245,5,15,7,8,47,0,0,0,0,703,1000,2,9
70046338742,1,9,9,14,24,0,0,0,0,705,2500,8,10
81250487006,9,10,12,13,2,3156,0,0,0,715,4000,9,1
95944385379,4,26,4,7,15,2497,0,0,0,701,100,10,13
41890833941,2,17,12,1,32,1998,133,0,0,132,1,11,6
16954015137,10,17,2,20,27,3270,0,0,0,713,30,1,11
73032418747,11,17,6,22,27,1511,0,0,0,711,750,5,15
60230857947,1,14,12,17,27,0,0,0,0,706,2500,2,1
84368507148,1,31,10,23,49,2317,0,0,0,706,2000,12,4
65475248220,7,6,5,8,48,3087,0,0,0,285,100,11,16
25060436557,4,28,9,12,41,974,0,0,0,702,250,13,16
94660975969,5,23,6,18,19,1499,0,0,0,703,1000,10,3
19725439033,1,21,4,0,26,3438,0,0,0,706,1500,12,11
17511238425,5,18,1,12,9,0,0,0,0,703,500,5,10
83338492419,1,25,6,3,28,2036,0,0,0,705,2000,5,2
23872605085,4,7,9,10,36,570,0,0,0,701,250,9,12
34237639884,6,7,6,14,0,343,0,0,0,710,750,8,11
98137617274,2,5,1,0,31,2840,81,0,0,1,0,14,11
70541482086,6,9,6,6,6,1546,0,0,0,709,150,11,1
69101527436,9,7,12,8,45,3135,0,0,0,715,5000,6,3
11180975236,5,23,5,15,4,0,0,0,0,703,250,4,11
98975544118,5,29,8,15,11,1419,0,0,0,703,750,6,13
50401554920,7,29,3,7,29,433,0,0,0,691,40,11,4
57598649108,2,29,1,15,31,1767,75,0,0,583,0,3,10
52605758975,11,20,10,19,44,0,0,0,0,707,450,13,15
90971344109,9,4,2,22,22,2898,0,0,0,715,1000,4,14
